width,depth,trial,magnetization,square_magnetization,seconds
12,2,1,0.07763671874999986,0.06556532118055612,-3.897644412999796
12,3,1,-0.056315104166666755,0.03076171875,-8.18121780299981
12,4,1,0.08577473958333331,0.025309244791666324,-14.99887919799994
12,5,1,0.04052734375000001,0.00887044270833319,-18.654894932999753
12,6,1,0.02506510416666674,0.017523871527777637,-21.433552467999675
12,7,1,0.02945963541666663,-0.006374782986110994,-22.78816270699963
12,8,1,0.042317708333333315,-0.0010850694444443504,-25.420293004999735
12,9,1,-0.03873697916666667,-0.010687934027777554,-33.10119467899972
12,10,1,-0.062174479166666734,0.01117621527777772,-41.80739203799965
12,11,1,-0.014648437500000062,0.004177517361111008,-49.278466458999674
12,12,1,-0.020345052083333346,-0.002360026041666699,-59.119521462999614
